,full_name,age_201718,birthday,league_201718,season_201718,position_201718,Current Club_201718,minutes_played_overall_201718,nationality_201718,appearances_overall_201718,goals_overall_201718,assists_overall_201718,penalty_goals_201718,penalty_misses_201718,clean_sheets_overall_201718,conceded_overall_201718,yellow_cards_overall_201718,red_cards_overall_201718,goals_involved_per_90_overall_201718,assists_per_90_overall_201718,goals_per_90_overall_201718,min_per_goal_overall_201718,conceded_per_90_overall_201718,min_per_conceded_overall_201718,min_per_match_201718,min_per_card_overall_201718,min_per_assist_overall_201718,cards_per_90_overall_201718,rank_in_league_top_attackers_201718,rank_in_league_top_midfielders_201718,rank_in_league_top_defenders_201718,rank_in_club_top_scorer_201718,age_201819,league_201819,season_201819,position_201819,Current Club_201819,minutes_played_overall_201819,nationality_201819,appearances_overall_201819,goals_overall_201819,assists_overall_201819,penalty_goals_201819,penalty_misses_201819,clean_sheets_overall_201819,conceded_overall_201819,yellow_cards_overall_201819,red_cards_overall_201819,goals_involved_per_90_overall_201819,assists_per_90_overall_201819,goals_per_90_overall_201819,min_per_goal_overall_201819,conceded_per_90_overall_201819,min_per_conceded_overall_201819,min_per_match_201819,min_per_card_overall_201819,min_per_assist_overall_201819,cards_per_90_overall_201819,rank_in_league_top_attackers_201819,rank_in_league_top_midfielders_201819,rank_in_league_top_defenders_201819,rank_in_club_top_scorer_201819,age_201920,league_201920,season_201920,position_201920,Current Club_201920,minutes_played_overall_201920,nationality_201920,appearances_overall_201920,goals_overall_201920,assists_overall_201920,penalty_goals_201920,penalty_misses_201920,clean_sheets_overall_201920,conceded_overall_201920,yellow_cards_overall_201920,red_cards_overall_201920,goals_involved_per_90_overall_201920,assists_per_90_overall_201920,goals_per_90_overall_201920,min_per_goal_overall_201920,conceded_per_90_overall_201920,min_per_conceded_overall_201920,min_per_match_201920,min_per_card_overall_201920,min_per_assist_overall_201920,cards_per_90_overall_201920,rank_in_league_top_attackers_201920,rank_in_league_top_midfielders_201920,rank_in_league_top_defenders_201920,rank_in_club_top_scorer_201920
10,Adam Smith,29,672883200,Premier League,2017/2018,Defender,AFC Bournemouth,2068,England,27,1,3,0,0,4,34,6,0,0.17,0.13,0.04,2068,1.48,61,77,345,689,0.26,230,100,132,14,29.0,Premier League,2018/2019,Defender,AFC Bournemouth,2073.0,England,25.0,1.0,1.0,0.0,0.0,9.0,30.0,6.0,1.0,0.09,0.04,0.04,2073.0,1.3,69.0,83.0,296.0,2073.0,0.3,227.0,228.0,85.0,10.0,29.0,Premier League,2019/2020,Defender,AFC Bournemouth,2060.0,England,24.0,0.0,1.0,0.0,0.0,4.0,39.0,7.0,0.0,0.04,0.04,0.0,0.0,1.7,53.0,86.0,294.0,2060.0,0.31,363.0,231.0,139.0,25.0
11,Ademola Lookman,23,877305600,Premier League,2017/2018,Forward,Everton,154,England,7,0,1,0,0,2,4,0,0,0.58,0.58,0.0,0,2.34,39,22,0,154,0.0,-1,-1,-1,19,23.0,Premier League,2018/2019,Forward,Everton,601.0,England,21.0,0.0,2.0,0.0,0.0,8.0,7.0,0.0,0.0,0.3,0.3,0.0,0.0,1.05,86.0,29.0,0.0,301.0,0.0,292.0,20.0,-1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Adrian Mariappa,34,528681600,Premier League,2017/2018,Defender,Watford,2209,Jamaica,28,0,0,0,0,7,39,4,0,0.0,0.0,0.0,0,1.59,57,79,552,0,0.16,276,272,151,21,34.0,Premier League,2018/2019,Defender,Watford,1921.0,Jamaica,26.0,0.0,0.0,0.0,0.0,6.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,1.36,66.0,74.0,640.0,0.0,0.14,396.0,414.0,94.0,21.0,34.0,Premier League,2019/2020,Defender,Watford,1509.0,Jamaica,20.0,0.0,0.0,0.0,0.0,5.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0,1.61,56.0,75.0,252.0,0.0,0.36,296.0,275.0,127.0,15.0
13,Adrián San Miguel del Castillo,33,536630400,Premier League,2017/2018,Goalkeeper,West Ham United,1710,Spain,19,0,0,0,0,6,28,2,0,0.0,0.0,0.0,0,1.47,61,90,855,0,0.11,256,377,124,20,33.0,Premier League,2018/2019,Goalkeeper,West Ham United,0.0,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,33.0,Premier League,2019/2020,Goalkeeper,Liverpool,873.0,Spain,11.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.03,87.0,79.0,873.0,0.0,0.1,343.0,309.0,44.0,22.0
14,Adrien Sebastian Perruchet Silva,31,605923200,Premier League,2017/2018,Midfielder,Leicester City,762,Portugal,12,0,1,0,0,3,17,3,0,0.12,0.12,0.0,0,2.01,45,64,254,762,0.35,261,115,-1,12,31.0,Premier League,2018/2019,Midfielder,Leicester City,88.0,Portugal,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,88.0,44.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ahmed Hegazi,29,664761600,Premier League,2017/2018,Defender,West Bromwich Albion,3387,Egypt,38,2,0,0,0,10,51,4,0,0.05,0.0,0.05,1694,1.36,66,89,847,0,0.11,222,323,93,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ahmed Musa,28,719020800,Premier League,2017/2018,Forward,Leicester City,0,Nigeria,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Aiden O'Neill,22,899510400,Premier League,2017/2018,Midfielder,Burnley,0,Australia,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ainsley Maitland-Niles,23,872812800,Premier League,2017/2018,Midfielder,Arsenal,907,England,15,0,0,0,0,5,14,1,0,0.0,0.0,0.0,0,1.39,65,60,907,0,0.1,286,289,-1,21,23.0,Premier League,2018/2019,Midfielder,Arsenal,985.0,England,16.0,1.0,1.0,0.0,0.0,4.0,16.0,3.0,1.0,0.18,0.09,0.09,985.0,1.46,62.0,62.0,328.0,985.0,0.27,174.0,167.0,-1.0,15.0,23.0,Premier League,2019/2020,Midfielder,Arsenal,1382.0,England,20.0,0.0,2.0,0.0,0.0,5.0,20.0,6.0,1.0,0.13,0.13,0.0,0.0,1.3,69.0,69.0,230.0,691.0,0.39,379.0,98.0,-1.0,23.0
19,Alberto Moreno,28,710294400,Premier League,2017/2018,Defender,Liverpool,1264,Spain,16,0,0,0,0,6,17,1,0,0.0,0.0,0.0,0,1.21,74,79,1264,0,0.07,347,304,69,25,28.0,Premier League,2018/2019,Defender,Liverpool,155.0,Spain,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,78.0,78.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Aleksandar Dragović,29,668217600,Premier League,2017/2018,Defender,Leicester City,766,Austria,11,0,0,0,0,4,12,2,0,0.0,0.0,0.0,0,1.41,64,70,383,0,0.23,289,292,111,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Aleksandar Mitrović,26,779673600,Premier League,2017/2018,Forward,Newcastle United,89,Serbia,6,1,0,0,0,2,0,0,0,1.01,0.0,1.01,89,0.0,0,15,0,0,0.0,-1,-1,-1,11,26.0,Premier League,2018/2019,Forward,Fulham,3282.0,Serbia,37.0,11.0,3.0,1.0,0.0,5.0,74.0,7.0,0.0,0.38,0.08,0.3,298.0,2.03,44.0,89.0,469.0,1094.0,0.19,62.0,176.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Alex Iwobi,24,831081600,Premier League,2017/2018,Forward,Arsenal,1843,Nigeria,26,3,5,0,0,9,24,1,0,0.39,0.24,0.15,614,1.17,77,71,1843,369,0.05,122,40,-1,8,24.0,Premier League,2018/2019,Forward,Arsenal,1972.0,Nigeria,35.0,3.0,6.0,0.0,0.0,8.0,31.0,0.0,0.0,0.41,0.27,0.14,657.0,1.41,64.0,56.0,0.0,329.0,0.0,128.0,31.0,-1.0,8.0,24.0,Premier League,2019/2020,Forward,Everton,1604.0,Nigeria,25.0,1.0,0.0,0.0,0.0,4.0,27.0,0.0,0.0,0.06,0.0,0.06,1604.0,1.51,59.0,64.0,0.0,0.0,0.0,198.0,388.0,-1.0,9.0
23,Alex McCarthy,31,628646400,Premier League,2017/2018,Goalkeeper,Southampton,1620,England,18,0,0,0,0,4,23,2,0,0.0,0.0,0.0,0,1.28,70,90,810,0,0.11,283,384,77,21,31.0,Premier League,2018/2019,Goalkeeper,Southampton,2250.0,England,25.0,0.0,0.0,0.0,0.0,4.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,1.48,61.0,90.0,2250.0,0.0,0.04,372.0,365.0,114.0,21.0,31.0,Premier League,2019/2020,Goalkeeper,Southampton,2520.0,England,28.0,0.0,0.0,0.0,0.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,76.0,90.0,0.0,0.0,0.0,329.0,354.0,61.0,19.0
24,Alex Oxlade-Chamberlain,27,745372800,Premier League,2017/2018,Midfielder,Liverpool,1726,England,35,3,7,0,0,13,24,3,0,0.52,0.37,0.16,575,1.25,72,49,575,247,0.16,114,10,-1,6,27.0,Premier League,2018/2019,Midfielder,Liverpool,19.0,England,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,21.0,27.0,Premier League,2019/2020,Midfielder,Liverpool,1489.0,England,30.0,4.0,1.0,0.0,0.0,12.0,12.0,1.0,0.0,0.3,0.06,0.24,372.0,0.73,124.0,50.0,1489.0,1489.0,0.06,74.0,192.0,-1.0,9.0
25,Alex Palmer,24,839635200,Premier League,2017/2018,Goalkeeper,West Bromwich Albion,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Alex Pritchard,27,736387200,Premier League,2017/2018,Midfielder,Huddersfield Town,1002,England,14,1,1,0,0,3,12,1,0,0.18,0.09,0.09,1002,1.08,84,72,1002,1002,0.09,156,149,-1,6,27.0,Premier League,2018/2019,Midfielder,Huddersfield Town,2092.0,England,30.0,2.0,0.0,0.0,0.0,4.0,39.0,2.0,0.0,0.09,0.0,0.09,1046.0,1.68,54.0,70.0,1046.0,0.0,0.09,171.0,373.0,-1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Alexander Sørloth,25,818121600,Premier League,2017/2018,Forward,Crystal Palace,360,Norway,4,0,0,0,0,0,8,0,0,0.0,0.0,0.0,0,2.0,45,90,0,0,0.0,245,270,-1,28,25.0,Premier League,2018/2019,Forward,Crystal Palace,173.0,Norway,12.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,173.0,14.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Alexandre Lacazette,29,675388800,Premier League,2017/2018,Forward,Arsenal,2212,France,32,14,4,2,0,12,28,1,0,0.73,0.16,0.57,158,1.14,79,69,2212,553,0.04,13,77,-1,1,29.0,Premier League,2018/2019,Forward,Arsenal,2503.0,France,35.0,13.0,8.0,0.0,0.0,7.0,28.0,2.0,0.0,0.76,0.29,0.47,193.0,1.01,89.0,72.0,1252.0,313.0,0.07,21.0,25.0,-1.0,2.0,29.0,Premier League,2019/2020,Forward,Arsenal,1878.0,France,30.0,10.0,4.0,0.0,0.0,8.0,24.0,8.0,0.0,0.67,0.19,0.48,188.0,1.15,78.0,63.0,235.0,470.0,0.38,23.0,62.0,-1.0,2.0
29,Alexis Sanchez,31,598492800,Premier League,2017/2018,Forward,Manchester United,2555,Chile,31,9,6,1,1,13,31,5,0,0.53,0.21,0.32,284,1.09,82,82,511,426,0.18,50,56,-1,2,31.0,Premier League,2018/2019,Forward,Manchester United,877.0,Chile,20.0,1.0,3.0,0.0,0.0,6.0,8.0,3.0,0.0,0.41,0.31,0.1,877.0,0.82,110.0,44.0,292.0,292.0,0.31,166.0,17.0,-1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Alfie Mawson,26,758937600,Premier League,2017/2018,Defender,Swansea City,3420,England,38,2,1,0,0,9,53,3,0,0.08,0.03,0.05,1710,1.39,65,90,1140,3420,0.08,221,229,103,7,26.0,Premier League,2018/2019,Defender,Fulham,1131.0,England,15.0,0.0,0.0,0.0,0.0,3.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,1.99,45.0,75.0,566.0,0.0,0.16,307.0,255.0,161.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Alfie Whiteman,22,907286400,Premier League,2017/2018,Goalkeeper,Tottenham Hotspur,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,22.0,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,22.0,Premier League,2019/2020,Goalkeeper,Tottenham Hotspur,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
32,Ali Gabr,31,600393600,Premier League,2017/2018,Defender,West Bromwich Albion,0,Egypt,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Allan Nyom,32,579225600,Premier League,2017/2018,Defender,West Bromwich Albion,2308,Cameroon,29,0,1,0,0,9,38,7,0,0.04,0.04,0.0,0,1.48,61,80,330,2308,0.27,385,211,130,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Alvaro Morata,28,719798400,Premier League,2017/2018,Forward,Chelsea,2066,Spain,31,11,6,0,0,13,17,7,0,0.74,0.26,0.48,188,0.74,122,67,295,344,0.3,22,30,-1,2,28.0,Premier League,2018/2019,Forward,Chelsea,943.0,Spain,16.0,5.0,0.0,0.0,0.0,9.0,11.0,3.0,0.0,0.48,0.0,0.48,189.0,1.05,86.0,59.0,314.0,0.0,0.29,20.0,338.0,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ander Herrera,31,619056000,Premier League,2017/2018,Midfielder,Manchester United,1261,Spain,26,0,2,0,0,13,13,5,0,0.14,0.14,0.0,0,0.93,97,49,252,631,0.36,378,93,-1,21,31.0,Premier League,2018/2019,Midfielder,Manchester United,1404.0,Spain,22.0,2.0,3.0,0.0,0.0,6.0,17.0,4.0,0.0,0.32,0.19,0.13,702.0,1.09,83.0,64.0,351.0,468.0,0.26,134.0,68.0,-1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Anders Lindegaard,36,450662400,Premier League,2017/2018,Goalkeeper,Burnley,0,Denmark,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Andre Ayew,31,629856000,Premier League,2017/2018,Forward,Swansea City,1842,Ghana,30,3,4,0,1,6,38,5,0,0.34,0.2,0.15,614,1.86,48,61,368,461,0.24,123,58,-1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Andre Gray,29,677894400,Premier League,2017/2018,Forward,Watford,1495,England,31,5,2,0,0,7,24,1,0,0.42,0.12,0.3,299,1.44,62,48,1495,748,0.06,54,116,-1,5,29.0,Premier League,2018/2019,Forward,Watford,1358.0,England,29.0,7.0,2.0,0.0,0.0,5.0,23.0,2.0,0.0,0.6,0.13,0.46,194.0,1.52,59.0,47.0,679.0,679.0,0.13,25.0,109.0,-1.0,3.0,29.0,Premier League,2019/2020,Forward,Watford,744.0,England,23.0,2.0,0.0,0.0,0.0,5.0,14.0,1.0,0.0,0.24,0.0,0.24,372.0,1.69,53.0,32.0,744.0,0.0,0.12,75.0,363.0,-1.0,8.0
39,André Martín Carrillo Díaz,29,676857600,Premier League,2017/2018,Forward,Watford,1536,Peru,28,1,2,0,0,7,28,2,0,0.18,0.12,0.06,1536,1.64,55,55,768,768,0.12,191,109,-1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Andreas Christensen,24,829094400,Premier League,2017/2018,Defender,Chelsea,2071,Denmark,27,0,0,0,0,11,21,0,0,0.0,0.0,0.0,0,0.91,99,77,0,0,0.0,353,260,43,24,24.0,Premier League,2018/2019,Defender,Chelsea,615.0,Denmark,8.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.02,88.0,77.0,615.0,0.0,0.15,338.0,346.0,35.0,21.0,24.0,Premier League,2019/2020,Defender,Chelsea,1754.0,Denmark,21.0,0.0,0.0,0.0,0.0,3.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,1.64,55.0,84.0,351.0,0.0,0.26,313.0,408.0,131.0,23.0
41,Andrew Robertson,26,763344000,Premier League,2017/2018,Defender,Liverpool,1943,Scotland,22,1,5,0,0,10,16,2,0,0.28,0.23,0.05,1943,0.74,121,88,972,389,0.09,211,47,19,14,26.0,Premier League,2018/2019,Defender,Liverpool,3219.0,Scotland,36.0,0.0,11.0,0.0,0.0,21.0,17.0,4.0,0.0,0.31,0.31,0.0,0.0,0.48,189.0,89.0,805.0,293.0,0.11,418.0,19.0,2.0,20.0,26.0,Premier League,2019/2020,Defender,Liverpool,3113.0,Scotland,36.0,2.0,12.0,0.0,0.0,14.0,31.0,2.0,0.0,0.4,0.35,0.06,1557.0,0.9,100.0,86.0,1557.0,259.0,0.06,210.0,14.0,28.0,12.0
